comment,toxic,comment_clean
This and below assignments also should be removed,0,this and below assignments also should be removed
this should be flavor_id = self.flavor_id,0,this should be flavorid selfflavorid
bool session_adopted_ = false;,0,bool sessionadopted false
"nit: Starting C++11, this could be done directly in the declaration. ( bool have_token = false;)",0,nit starting c11 this could be done directly in the declaration bool havetoken false
"I am confused.
 
 This is the tar process we are checking. If it has exited, why do we need to kill it? its already dead?
 
 We already check the exit code in finish_subprocess.",0,i am confused this is the tar process we are checking if it has exited why do we need to kill it its already dead we already check the exit code in finishsubprocess
"Yuck. Use %.70s, which will do this more gracefully",1,yuck use 70s which will do this more gracefully
"Use mock_thread_instance = mock.MagicMock(isAlive=mock.MagicMock(return_value=False))
 
 remove L69",0,use mockthreadinstance mockmagicmockisalivemockmagicmockreturnvaluefalse remove l69
SkRect local_bounds = gfx::RectToSkRect(GetLocalBounds());,0,skrect localbounds gfxrecttoskrectgetlocalbounds
worse!!!!!!! how does setuptools/cliff even do that with the '_' -> ' ' mapping in place?,0,worse how does setuptoolscliff even do that with the mapping in place
"so you have rename fields to obj_fields because of here, right?",0,so you have rename fields to objfields because of here right
Unfinished docstring.,0,unfinished docstring
"This _exec_ipmitool() method(will attempt 3 times(L101) if the command fail, so for our validate method, that is no need to have try with 3 times, so how do you think if we add new parameter for _exec_ipmitool() method, default is 3 as below?
 
  def _exec_ipmitool(driver_info, command, attempts=3):
  ...
 
 so we just call it with ""attempts=1"" here for validation action:
  
  _exec_ipmitool(driver_info, ""mc info"", attempts=1)",0,this execipmitool methodwill attempt 3 timesl101 if the command fail so for our validate method that is no need to have try with 3 times so how do you think if we add new parameter for execipmitool method default is 3 as below def execipmitooldriverinfo command attempts3 so we just call it with attempts1 here for validation action execipmitooldriverinfo mc info attempts1
remove the white space here,0,remove the white space here
nit: get*_() instead of compute_(). We're not computing anything.,0,nit get instead of compute we are not computing anything
this is useless if you use a boolean.,0,this is useless if you use a boolean
"Indeed, mpu_protect_ram() already did the same thing in commom/system.c. I think this part is useless.",0,indeed mpuprotectram already did the same thing in commomsystemc i think this part is useless
"Oh, stupid me, all I did was make it dereference invalid pieces of memory if the addresses are too big!

I did manually test this and I found the expected partition size.
Unfortunately, neither Storm nor any of our other upcoming Brillo devices have NAND big enough to trigger this. Proto 0.2's NAND is 8Gb (that's gigabits) and all the production devices will be much smaller.",0,oh stupid me all i did was make it dereference invalid pieces of memory if the addresses are too big i did manually test this and i found the expected partition size unfortunately neither storm nor any of our other upcoming brillo devices have nand big enough to trigger this proto 02s nand is 8gb that is gigabits and all the production devices will be much smaller
"Instead of wrap_delimiter(), utils.wrap_delimiter() should be used.
 For all wrap_delimiter() calls below, they should be replaced by utils.wrap_delimiter() .",0,instead of wrapdelimiter utilswrapdelimiter should be used for all wrapdelimiter calls below they should be replaced by utilswrapdelimiter
you have deleted _prepare_test,0,you have deleted preparetest
Remove VMAX,0,remove vmax
"Checking the _REG_PAGE_COUNT register is more reliable. Raising an exception skips the following StopDumpingToMemory call, meaning that the audio continues to dump.",0,checking the regpagecount register is more reliable raising an exception skips the following stopdumpingtomemory call meaning that the audio continues to dump
"No, the internal is for services.
 
 Splitting on ports is a dumb way to do security, but we are stuck with it for now",0,no the internal is for services splitting on ports is a dumb way to do security but we are stuck with it for now
"But you still have the data() used as null-terminated string below. StringPiece::data() generally does not guarantee the terminator.

Keep this as is, we will deal with it later.",0,but you still have the data used as nullterminated string below stringpiecedata generally does not guarantee the terminator keep this as is we will deal with it later
useless braces,0,useless braces
This one looks to be useless.,0,this one looks to be useless
nit: validating *a* request body,0,nit validating a request body
function keyword is a bashism and IMHO looks ugly compared to 'usage() {'.,1,function keyword is a bashism and imho looks ugly compared to usage
this override seems useless,0,this override seems useless
"As we're moving to have tenant in headers, should we probably kill it from the beginning?",0,as we are moving to have tenant in headers should we probably kill it from the beginning
"because this fix modify string format from "" xxxxxx, DUMMY"" to "" xxx DUMMY xxx"", (the original code use ',' instead of '%', then 'DUMMY') , I want to make sure the string is right formatted. 
 
 for example:
 
 original one:
 >>> print ""444 %s 444"", ""aaa""
 444 %s 444 aaa
 
 now:
 >>> print ""444 %s 444"" % ""aaa""
 444 aaa 444",0,because this fix modify string format from x dummy to x dummy x the original code use instead of then dummy i want to make sure the string is right formatted for example original one print 4 s 4 a 4 s 4 a now print 4 s 4 a 4 a 4
"I think trying to establish ""this->pData == nullptr"" as a valid state is going down a rat's hole (having to adapt all places that read pData) for no benefit (see how making operator+= fulfil the strong guarantee, which is desirable, makes the demand for a ""this->pData == nullptr"" state not arise)",0,i think trying to establish thispdata nullptr as a valid state is going down a rats hole having to adapt all places that read pdata for no benefit see how making operator fulfil the strong guarantee which is desirable makes the demand for a thispdata nullptr state not arise
/It may happen that a service die/A service may die/,0,it may happen that a service diea service may die
"Hehe, why are you always right? :-) I should do some pair programming with you to avoid doing stupid stuff earlier ;-) Thank you!",0,hehe why are you always right i should do some pair programming with you to avoid doing stupid stuff earlier thank you
uint8_t constexpr kUninit = 0xFF;,0,uint8t constexpr kuninit 0xff
should this maybe be called rootwrap-xenapi? or rootwrap-xen-dom0? I'm wondering if dom0 isn't distinct enough to non-xen for them to know to ignore this file.,0,should this maybe be called rootwrapxenapi or rootwrapxendom0 i am wondering if dom0 is not distinct enough to nonxen for them to know to ignore this file
"For this, you'd just check the whether the size of |entries| is === 1. Another option coul dbe to move the checks to the caller, but that might be more clumsy.",1,for this youd just check the whether the size of entries is 1 another option coul dbe to move the checks to the caller but that might be more clumsy
"Okie dokie. We should probably note that in reflection docstring, pretty sure thats cause py2.x is dumb, ha.",0,okie dokie we should probably note that in reflection docstring pretty sure thats cause py2x is dumb ha
Useless trailing '-'. See the implementation of rand_name(),0,useless trailing see the implementation of randname
"In the future, we should look into seeing if we make this a little cleaner instead of a crap load of info() lines.",1,in the future we should look into seeing if we make this a little cleaner instead of a crap load of info lines
Could you format this line break inside the tuple of arguments and get rid of this backslash if you do another patch?,0,could you format this line break inside the tuple of arguments and get rid of this backslash if you do another patch
I'd like to see a lot of these mocks moved to tests/mock/{mock_file}.py,0,id like to see a lot of these mocks moved to testsmockmockfilepy
"the comment is... useless. the function is called 'validate_hash', obviously we are validating an hash here :-)",0,the comment is useless the function is called validatehash obviously we are validating an hash here
"What test harness are you using for this? Why not use unittest2? It is already installed and has a consistent interface and output. [Just curious... I don't see (from this commit) how these tests are being executed, so I thought I would ask.]",0,what test harness are you using for this why not use unittest2 it is already installed and has a consistent interface and output just curious i do not see from this commit how these tests are being executed so i thought i would ask
Whitespaces should be removed.,0,whitespaces should be removed
"the name is ugly, what can't it be openstack-ec2-api-service?",1,the name is ugly what can not it be openstackec2apiservice
All you do in the interrupt handler is call wake_up.  Looks like you do not need a threaded irq.,0,all you do in the interrupt handler is call wakeup looks like you do not need a threaded irq
lazy-lazy =),1,lazylazy
must be executed,0,must be executed
"yeah that sucked, fixed
 
 Done.",1,yeah that sucked fixed done
"I'm not sure what you mean by reference error..
 
 How about from line 220~
 
  if lock_file_prefix:
  if lock_file_prefix.endswith('-'):
  lock_file_name = '%s%s' % (lock_file_prefix, safe_name)
  else:
  lock_file_name = '%s-%s' % (lock_file_prefix, safe_name)
  else:
  lock_file_name = safe_name",0,i am not sure what you mean by reference error how about from line 220 if lockfileprefix if lockfileprefixendswith lockfilename ss lockfileprefix safename else lockfilename ss lockfileprefix safename else lockfilename safename
"nit: use std::make_unique here
 
  _syncedSessionsObserver = std::make_unique<synced_sessions::SyncedSessionsObserverBridge>(
  self, _browserState);",0,nit use stdmakeunique here syncedsessionsobserver stdmakeuniquesyncedsessionssyncedsessionsobserverbridge self browserstate
fake.VOLUME_ID,0,fakevolumeid
"I have a doubt (which could be dumb). 'fqdn' should be resolved with in the namespace context or the host context ?
 In this fix, I am assuming it to be host context.",0,i have a doubt which could be dumb fqdn should be resolved with in the namespace context or the host context in this fix i am assuming it to be host context
"style is camel case, myClientSecret, myClientId, myRefreshToken",0,style is camel case myclientsecret myclientid myrefreshtoken
FK should be data_sources.id,0,fk should be datasourcesid
"@zhiyan, thanks for helping explanation. Overall it's correct. And you're suggestion makes sense for me, will improve it in next PS.
 
 @iccha, actually, this patch is related to https://review.openstack.org/#/c/63707/ in that patch, we're trying to set image size if the image is transferring from 'queued' to 'active' directly when user add/update locations for the image. The try/except can make sure we can iterate all the locations to get an available image. I improve it at here since it's breaking some unit test cases since we're introducing some new behaviour by this change. Does it make sense for you?",0,zhiyan thanks for helping explanation overall it is correct and you are suggestion makes sense for me will improve it in next ps iccha actually this patch is related to in that patch we are trying to set image size if the image is transferring from queued to active directly when user addupdate locations for the image the tryexcept can make sure we can iterate all the locations to get an available image i improve it at here since it is breaking some unit test cases since we are introducing some new behaviour by this change does it make sense for you
"I think you're just missing my point, or I am stupid enough to be unable to convey it properly.",0,i think you are just missing my point or i am stupid enough to be unable to convey it properly
LOL you called my decorator stupid...=),1,lol you called my decorator stupid
This should be a URIOpt instead of StrOpt.,0,this should be a uriopt instead of stropt
"It should be
 
  testr_args += "" %s"" % set_name",0,it should be testrargs s setname
"This line is super horrible and needs to die! Please do something like:
  
  attempts = 1
  if retries >= 1:
  attempts = retries + 1
 
 or something along those lines.
 
 also - a test would be nice (there are already tests that test some cases of this so just add another one in test_compute_mgr.py",1,this line is super horrible and needs to die please do something like attempts 1 if retries 1 attempts retries 1 or something along those lines also a test would be nice there are already tests that test some cases of this so just add another one in testcomputemgrpy
consider rename to current_l3_agents,0,consider rename to currentl3agents
I think the formatting may have gotten screwed up (or Gerrit made it look ugly),1,i think the formatting may have gotten screwed up or gerrit made it look ugly
wrap the body of your commit messages at 72 characters.,0,wrap the body of your commit messages at 72 characters
nit - should be without '{' and '}'?,0,nit should be without and
Please clean up after this fails before returning.,0,please clean up after this fails before returning
Might be cleaner to write an OCP that wraps this and prunes out the downloads... I know that's a lot more code/sucks but that's probably the cleanest way?  Can you just put this in the factory?  Or put it at each client?,1,might be cleaner to write an ocp that wraps this and prunes out the downloads i know that is a lot more codesucks but that is probably the cleanest way can you just put this in the factory or put it at each client
"Is there any reason you don't fail if this is not true? Seems like a mangled header would get by this check.
 
 nit: startswith may read cleaner",0,is there any reason you do not fail if this is not true seems like a mangled header would get by this check nit startswith may read cleaner
"You can just leave this uncommented, it works with NO_THREAD_SAFETY_ANALYSIS",0,you can just leave this uncommented it works with nothreadsafetyanalysis
nit: these migth be the first check in the routine (I think we'll hit this 99% of cases),0,nit these migth be the first check in the routine i think we will hit this 99 of cases
this should be setup_receiver (PEP8),0,this should be setupreceiver pep8
"ooh, burn!",1,ooh burn
"nit: A little ugly / confusing why you don't need this in write_len.  Maybe just store addr in a temp variable and put it in both ""if"" statements?",0,nit a little ugly confusing why you do not need this in writelen maybe just store addr in a temp variable and put it in both if statements
these downcasts need to be static_cast now,0,these downcasts need to be staticcast now
why aren't you using $ACTUAL_FILTERS instead of writing them by hand?,0,why are not you using actualfilters instead of writing them by hand
"Yes, and ... crap.",1,yes and crap
"die unrelated change!!!. :)
  __
  ____________| &|____
  unrelated change /_____________\ &&&&|
  \_____________/ Â ____|
  |__|
 
 don't ask... I had that sword in my editor yet...",0,die unrelated change unrelated change do not ask i had that sword in my editor yet
"Line 1797 whitespace, plus four other trailing whitespace instances highlighted above, seems to be causing the checkniceness failure.",0,line 1797 whitespace plus four other trailing whitespace instances highlighted above seems to be causing the checkniceness failure
stupid style nit - list comprehension is slightly nicer.,1,stupid style nit list comprehension is slightly nicer
"Instead of passing every mock, every time to this function, you could do something like that:
 
  def setUp(self):
  ...
  patcher = mock.patch.object(SomeObjcet, 'qwerty')
  self.mock_request = patcher.start()
 
  def configure_mock(self, *responses):
  ...
  self.mock_request.return_value = fake_response
 
 
 Remember to stop all mocks in tearDown.",0,instead of passing every mock every time to this function you could do something like that def setupself patcher mockpatchobjectsomeobjcet qwerty selfmockrequest patcherstart def configuremockself responses selfmockrequestreturnvalue fakeresponse remember to stop all mocks in teardown
"Instead of CloudDBInstance, I would use CloudDatabase.
 
 Needs docstring.",0,instead of clouddbinstance i would use clouddatabase needs docstring
Should we assert anything here? Or that's already all done by findByFileName?,0,should we assert anything here or that is already all done by findbyfilename
nit: newline after is_source_touch_event_set_non_blocking.,0,nit newline after issourcetoucheventsetnonblocking
i'm not entirely sure how to run a test wit a trybot w/out messing up the live system ...,0,i am not entirely sure how to run a test wit a trybot wout messing up the live system
"Wouldn't it be better to re-sync the databases? Neutron DB is the master. We don't want to rollback a change just because the slave couldn't commit it.
 
 If Neutron allowed the change, Dragonflow must accept it one way or another.",0,would not it be better to resync the databases neutron db is the master we do not want to rollback a change just because the slave could not commit it if neutron allowed the change dragonflow must accept it one way or another
remove ws here an below.,0,remove ws here an below
Here should be admin_snapshots_client.reset_snapshot_status,0,here should be adminsnapshotsclientresetsnapshotstatus
"that english language stuff always confused the hell out of me....yep, I kept wordsmithing this line and still didn't like it.",1,that english language stuff always confused the hell out of meyep i kept wordsmithing this line and still did not like it
"all the code you have inline below should be refactored and put into a main function

 main() {
   ...
 }
 main ""$@""",0,all the code you have inline below should be refactored and put into a main function main main
"OK - I suggest you actually write 'refers to the config element' here, then, otherwise dumb people like me will wonder where the pool table is. (In the snooker room, presumably.)",0,ok i suggest you actually write refers to the config element here then otherwise dumb people like me will wonder where the pool table is in the snooker room presumably
private_key=keypair['private_key'],0,privatekeykeypairprivatekey
doh. its awful! it should not be our work...,1,doh its awful it should not be our work
"Please, remove indention of commit message.",0,please remove indention of commit message
What if nStartRow<=0 or nStartRow>MAXROW+1? The entire loop wouldn't need to be executed then.,0,what if nstartrow0 or nstartrowmaxrow1 the entire loop would not need to be executed then
"ah, shit. will fix.",1,ah shit will fix
"silly nit, this isn't valid JSON, you're missing a closing ]",1,silly nit this is not valid json you are missing a closing
"#ifdef CONFIG_PM_RUNTIME

if you are feeling very anal about saving 1 byte...",1,ifdef configpmruntime if you are feeling very anal about saving 1 byte
i'm wondering if there isn't a cleaner way to do this? i'm very much abusing jsonutils here!,0,i am wondering if there is not a cleaner way to do this i am very much abusing jsonutils here
"Holy cow, when does this happen? Just tests? Any actual WSGI server that does this is horribly broken.",1,holy cow when does this happen just tests any actual wsgi server that does this is horribly broken
IIFE is malformed.. should be })();,0,iife is malformed should be
"This cast is unavoidable, since params is a mojom struct. Ditto below.",0,this cast is unavoidable since params is a mojom struct ditto below
"silly me, that was the initial idea",0,silly me that was the initial idea
pid,0,pid
much better (that acoles is pretty darn good huh...),1,much better that acoles is pretty darn good huh
"I really don't like this, we should remove all of them instead of adding more.",0,i really do not like this we should remove all of them instead of adding more
"I have no idea why $(LOCAL_PATH)/genserev.py works...

Why is LOCAL_PATH here have tools it..??

This worked locally, do I have some cruft in out I need to clean up to see this fail properly?",0,i have no idea why localpathgenserevpy works why is localpath here have tools it this worked locally do i have some cruft in out i need to clean up to see this fail properly
"I like this, and my only real feedback is to wonder if this url should look something like:
 
 GET /v2.0/usages/network/:id
 
 ... with the assumption that that allows easier expansion to other forms of usage blobs as desired.
 
 (On the other hand, I don't want to trigger a huge debate on a general usage mechanism that derails a working and small primitive that has value today.)",0,i like this and my only real feedback is to wonder if this url should look something like get v20usagesnetworkid with the assumption that that allows easier expansion to other forms of usage blobs as desired on the other hand i do not want to trigger a huge debate on a general usage mechanism that derails a working and small primitive that has value today
"This should be just using ""trans"" instead of ""blocktrans""",0,this should be just using trans instead of blocktrans
Yes you do. You have to specify which process and which signals you actually allow kill to interact with.,0,yes you do you have to specify which process and which signals you actually allow kill to interact with
"Are you sure this leads to a color that makes the white letter readable?
 You need to do something on DrawFallbackIconLetter to draw either WHITE or BLACK depending on the luminosity of the background.
 
 Based on W3C recommendations, here's what you do:
 
 def luminance(r, g, b):
  for each c in r,g,b:
  c = c / 255.0
  if c <= 0.03928 then c = c/12.92 else c = ((c+0.055)/1.055) ^ 2.4
  L = 0.2126 * r + 0.7152 * g + 0.0722 * b
  return L
 
 
 l = luminance(r, g, b)
 if l > 0.179 use #000000 else use #ffffff
 
 That's the way to go.
 
 There's already a GetRelativeLuminance that you could use instead, but it's garbage. :)",0,are you sure this leads to a color that makes the white letter readable you need to do something on drawfallbackiconletter to draw either white or black depending on the luminosity of the background based on w3c recommendations heres what you do def luminancer g b for each c in rgb c c 2550 if c 003928 then c c1292 else c c00551055 24 l 02126 r 07152 g 00722 b return l l luminancer g b if l 0179 use 0 else use f that is the way to go theres already a getrelativeluminance that you could use instead but it is garbage
"this kind of string-based flow manipulation should be under ovs_ofctl/.
 probably ofswitch.py",0,this kind of stringbased flow manipulation should be under ovsofctl probably ofswitchpy
"LOG.error instead of LOG.exception
 
 LOG.exception should be used when you have a traceback",0,logerror instead of logexception logexception should be used when you have a traceback
"You do leave the SPI_TX_CH_ON bit set, though.  As a SPI noob I guess I would have thought that you'd turn it off when you flip RX on.  ...and if you actually used the packet count I think you _could_ turn it off.

The code will end up putting 0xff on the bus (I think) when you sit and read.",0,you do leave the spitxchon bit set though as a spi noob i guess i would have thought that youd turn it off when you flip rx on and if you actually used the packet count i think you could turn it off the code will end up putting 0xff on the bus i think when you sit and read
I think port_status_notifier should still be a member of mech_driver (be self.port_status_notifier). Otherwise it may be garbage collected and stop working.,0,i think portstatusnotifier should still be a member of mechdriver be selfportstatusnotifier otherwise it may be garbage collected and stop working
Done,0,done
"Chris, just a question about 'intrusive', how can I understand it? Why it sucks.",1,chris just a question about intrusive how can i understand it why it sucks
Damn! Thought I'd gotten rid of it everywhere. New patch incoming,1,damn thought id gotten rid of it everywhere new patch incoming
useless line,0,useless line
"damn, and I thought I had gotten it right :P",1,damn and i thought i had gotten it right p
"Missing Signed-off-by:
(you can both yours and mine)

git commit --amend -s
will add yours automatically",0,missing signedoffby you can both yours and mine git commit amend s will add yours automatically
"Oh, yes, it was inconsistent already. I just copy pasted the previous code. Silly me.",1,oh yes it was inconsistent already i just copy pasted the previous code silly me
nit: /* isTest */,0,nit istest
Die. Die. Die XML. I'd remove this hideous reminder of a long-lost sad world.,0,die die die xml id remove this hideous reminder of a longlost sad world
"you can use:
 
  if self.baymodel_attr and getattr(bymodel, self.baymodel_attr, None):",0,you can use if selfbaymodelattr and getattrbymodel selfbaymodelattr none
"../../extensions/browser/extension_prefs.cc:348:3: error: no matching function for call to 'MakeCheckOpValueString'
  DCHECK_EQ(observer_list_.begin(), observer_list_.end());
  ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
../../base/logging.h:939:31: note: expanded from macro 'DCHECK_EQ'
#define DCHECK_EQ(val1, val2) DCHECK_OP(EQ, ==, val1, val2)
                              ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~
../../base/logging.h:911:29: note: expanded from macro 'DCHECK_OP'
  EAT_STREAM_PARAMETERS << (::logging::MakeCheckOpValueString(      \
etc
etc
etc (C++ template nonsense)",0,extensionsbrowserextensionprefscc3483 error no matching function for call to makecheckopvaluestring dcheckeqobserverlistbegin observerlistend baseloggingh93931 note expanded from macro dcheckeq define dcheckeqval1 val2 dcheckopeq val1 val2 baseloggingh91129 note expanded from macro dcheckop eatstreamparameters loggingmakecheckopvaluestring etc etc etc c template nonsense
"oh, yeah, you have -UNDEBUG in your makefiles. ignore me.",0,oh yeah you have undebug in your makefiles ignore me
"$VALUES is the variable used by the values() implementation. It's what you get if you use reflection on an enum.  It's included in the dump as just another property, so I think it's fine to use it.",0,values is the variable used by the values implementation it is what you get if you use reflection on an enum it is included in the dump as just another property so i think it is fine to use it
"This may be a dumb question, but it isn't immediately obvious why we are re-instantiating the kvs backend here, for the memcache driver. At first blush, it looks like a copy & paste error form the previous method...but I'm sure you'll enlighten me as to why it's not...:-)",0,this may be a dumb question but it is not immediately obvious why we are reinstantiating the kvs backend here for the memcache driver at first blush it looks like a copy paste error form the previous methodbut i am sure you will enlighten me as to why it is not
get rid of this code and have callers of this call new with DISABLED_AUTH_FAILURE as second param.,0,get rid of this code and have callers of this call new with disabledauthfailure as second param
